x,y,z,Name,Id,Vertex Index
1700,2788.4101,141.1291,Rectangle,133,1
1700,2788.4101,341.1291,Rectangle,133,2
1700,2988.4101,341.1291,Rectangle,133,3
1700,2988.4101,141.1291,Rectangle,133,4
1800,2788.4101,141.1291,Rectangle,133,5
1800,2788.4101,341.1291,Rectangle,133,6
1800,2988.4101,341.1291,Rectangle,133,7
1800,2988.4101,141.1291,Rectangle,133,8
1900,2788.4101,141.1291,Rectangle,133,9
1900,2788.4101,341.1291,Rectangle,133,10
1900,2988.4101,341.1291,Rectangle,133,11
1900,2988.4101,141.1291,Rectangle,133,12
1700,2988.4101,141.1291,Rectangle,134,1
1700,2788.4101,141.1291,Rectangle,134,2
1700,2788.4101,341.1291,Rectangle,134,3
1700,2988.4101,341.1291,Rectangle,134,4
1700,2988.4101,141.1291,Rectangle,134,5
1900,2988.4101,141.1291,Rectangle,135,1
1900,2788.4101,141.1291,Rectangle,135,2
1900,2788.4101,341.1291,Rectangle,135,3
1900,2988.4101,341.1291,Rectangle,135,4
1900,2988.4101,141.1291,Rectangle,135,5
