Horizon,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4,length_level2,length_level3,length_level4
T,0,1138.932938,0,0,0,901.311756,532.535627,0,2393.7475,0,0,2696.620391,0,962.435434,0,0,1200.145714,0,0,1291.720726,0,0,1644.895639,0,0,2080.925951,0,551.548343,0,0,0,0,0,245.709153,284.346495,1572.521001
Q,0,1849.988264,0,0,0,1620.694686,0,969.975781,2171.954855,0,0,2995.803368,776.732454,1743.655478,0,1118.705345,1156.182924,0,1267.658606,551.121432,194.084281,760.22009,1356.144622,0,0,4294.52422,380.665574,0,0,0,0,789.437427,1095.673285,453.672473,0,1825.228006
N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520.798185,240.931702,279.31339,0,0,0,1190.265834,0,328.584291,121.775681,796.671505,0,0,0,0,0,0,0
F,3403.643936,0,0,0,0,2576.38637,1062.863628,652.332125,2446.233575,0,0,3381.645256,0,2934.56058,0,0,2756.675086,0,0,2140.692659,341.920659,2369.020881,0,246.190517,970.160407,3421.121902,2189.138831,6900.959775,998.113039,0,3266.546407,1895.773848,2084.380878,0,301.492369,2258.983784
F-2,0,0,0,1604.653289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zo2,3975.608508,0,0,3348.060758,0,0,1735.886507,719.672931,2672.041238,615.649568,603.291118,3409.262008,3154.07292,3540.955757,0,6499.353337,0,0,3101.789594,2045.182685,671.404609,5818.360611,1103.035272,639.00771,0,3102.383077,3259.859496,7276.371737,1529.271594,0,3899.437926,3462.87573,1628.515237,6138.027811,0,2492.819611
Zo8,4485.634083,0,0,3511.265957,0,0,827.687708,633.057779,3922.638363,0,914.185563,4347.064248,4724.157407,3377.621405,0,4327.855931,2119.149495,1550.391668,3582.850037,1771.374241,1532.789131,4465.591455,858.700396,2276.64505,1274.492323,2094.870872,4739.509868,7356.394337,1931.041205,0,4794.493691,3223.888812,1771.458332,6043.629058,0,2498.701196
La,0,0,0,0,0,0,1480.441831,0,0,0,749.806469,0,4665.853489,385.342451,419.053496,3171.289943,0,362.950401,2351.918455,354.001806,884.831791,3382.408162,228.729231,758.840447,689.574926,1350.770358,0,0,0,0,0,0,0,453.596591,0,0
Gu,5217.996666,0,0,4646.821743,0,0,0,3696.470885,2043.930472,1675.482917,6480.735358,0,3348.929999,3979.696011,1996.223977,2748.627835,3258.173029,3100.058557,3901.593168,1138.623286,3974.006752,6036.890375,651.924443,2787.161704,2007.976871,0,7238.973662,6244.323271,0,3557.668632,2611.190645,1432.749844,5775.152827,4252.129855,1992.440783,3240.132539
Ma,5439.791696,0,0,4817.03,0,0,640.787987,7150.729726,5023.402826,4986.813668,354.478474,3510.771271,1378.521083,4267.162955,3641.941016,1147.032369,4529.601786,3517.062445,2667.190667,1661.834395,4815.972832,3081.616587,2875.965572,3554.377423,1386.284305,85.393179,7959.914069,6200.479142,0,3676.152511,511.604265,3905.158506,5297.39605,3896.570893,344.357101,5557.212092
Hu,5803.773104,0,0,5103.070777,0,0,193.950726,0,5458.536793,3815.002745,1638.92952,3868.311146,1539.311694,5051.508105,2769.143796,855.202094,4381.629604,4307.814264,1539.899748,2104.890005,5594.3549,2488.048812,6445.293422,635.882078,771.513449,272.348173,8499.582768,6181.587916,0,5084.84164,1155.461356,3301.629359,5687.379629,4171.028923,4795.348768,4157.908923
Ka,6402.323136,1647.173823,0,7414.180268,0,0,1378.674062,272.629203,6094.948725,3840.9987,1805.261115,3646.123526,2447.960104,2055.696063,5195.629663,483.918936,3257.09847,5930.822788,1506.903886,2005.045976,6236.681471,1592.690837,4488.136098,4006.934536,142.322314,0,9301.100728,1760.520362,4419.822521,3909.572246,2547.810607,2137.071486,6410.996458,4341.595784,6103.384097,4716.406578
Er,6883.306839,1475.88128,0,7689.685668,0,0,1465.709507,360.884131,6187.910258,958.021555,8386.48922,0,2273.930528,1371.940291,6131.091833,746.5581,348.673755,8725.826335,370.69306,1146.754246,8416.444653,238.067205,4204.93179,5702.798486,0,279.506046,9307.555718,1447.21037,0,8912.178001,976.215318,2488.653543,8086.564036,6007.975087,4932.894087,5080.811674
Pr,8970.076867,0,0,4253.328943,0,4056.586811,2406.378838,0,6249.069046,647.049655,3669.936329,5280.737243,1184.167731,125.939178,9038.485462,932.5105,0,9611.851547,436.512101,109.67298,10034.23207,1010.574609,317.990622,9580.906895,495.860816,5613.766931,4422.376305,4051.901814,556.892202,8673.897324,3025.797496,3143.057925,11148.9121,7267.274881,1915.419694,9270.821348
Di,9961.902638,0,0,0,4275.444405,4212.8598,2657.857265,267.204592,5926.456336,507.85752,1083.431667,8272.998314,0,1242.538786,9404.008609,1014.571964,151.641838,9707.415236,429.211972,0,10378.02843,1217.074297,155.550641,10272.03266,193.165396,9875.663329,753.218133,0,480.626913,5169.953966,4095.698713,3096.452061,11155.96974,7639.71794,1751.439766,9509.935596
So,9695.511099,0,0,4302.38901,0,4427.451074,3266.995519,292.905275,5561.378777,466.975699,1613.437981,8299.154275,1224.331951,372.680007,9423.762751,1179.879645,0,9813.586291,408.078274,0,10454.16584,1694.179992,0,10582.27519,1077.755937,10133.84953,685.043044,0,387.799674,7072.660432,7008.100811,1985.495977,10593.89683,10304.16736,354.21859,8468.948845
Gi5,11706.22335,0,0,4275.803803,0,5255.00568,3148.473352,1223.840452,3430.684231,1318.190413,683.163178,6352.627196,414.537914,817.306512,9809.15333,2135.032059,438.07394,10342.07407,2171.553695,0,10909.58587,1795.725216,10934.8186,1451.776222,2140.788246,10774.68454,481.441266,0,0,9746.230758,2144.484851,3368.354128,15212.87005,4183.790173,2064.018523,12556.91615
Fi,10471.21845,0,0,2818.624906,1147.320642,6929.670166,3290.239914,1082.285937,3773.187106,1858.818986,0,6357.827194,993.989204,472.153411,9117.943486,3038.062212,10593.44476,797.825285,2177.434664,834.746068,11301.27378,4368.676527,9188.369851,1794.535605,4652.113182,10493.35554,527.32254,0,0,9154.326669,2313.904827,1987.357393,16643.22013,1287.099015,3093.288296,14537.98556
Ge1,0,0,0,1243.67142,0,80.650188,1327.097803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kr-2,0,0,0,0,0,0,610.735594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mg,0,7274.55934,0,0,0,10762.09797,0,0,0,1420.600837,780.318559,5480.419655,0,825.817971,8081.882037,869.305813,4499.575599,9765.295519,2145.141541,3079.37808,10580.60833,4352.692211,7760.741647,5084.11035,2290.413488,5081.3083,8244.748398,0,0,12108.47508,1124.561317,1460.042247,16534.65077,0,2451.602393,16112.40555
Sb,1187.418537,5735.579124,0,1733.20282,663.522648,8451.235776,679.788492,0,6291.82529,583.727191,0,6935.579485,0,0,7784.439387,654.039936,378.855591,11996.38029,360.54179,1332.992406,13126.07302,0,0,16490.20321,2019.134044,3156.65116,6952.7709,0,0,10704.09717,0,2205.559187,9411.970223,0,0,17910.50263
Hf,0,0,0,0,0,2328.369524,0,0,2023.135968,219.828151,0,6468.396837,0,0,1585.890738,337.581803,0,8783.798125,0,0,10334.61089,0,0,9974.319768,177.172968,756.830324,9470.837112,0,0,6378.83816,0,0,11216.25491,0,0,10773.94287
Wb,0,0,0,621.68006,0,2463.317484,0,0,1706.321192,0,0,7854.138624,0,0,1460.723215,0,0,9098.20162,0,0,10491.27989,0,0,9846.444514,0,150.04379,10420.43048,0,0,5960.223593,0,0,10878.44745,0,0,9937.283496
Gs,0,0,0,0,0,5854.227649,0,0,0,0,0,7790.11519,0,0,0,0,0,0,0,0,4214.657182,0,0,0,0,0,4005.125005,0,0,0,0,0,3192.775999,0,0,0
