,Horizon,length_level2,length_level3,length_level4
0,T,0.0,0.0,2696.620391
1,Q,0.0,0.0,2995.803368
2,N,0.0,0.0,0.0
3,F,0.0,0.0,3381.6452560000002
4,F-2,0.0,0.0,0.0
5,Zo2,615.649568,603.291118,3409.2620079999997
6,Zo8,0.0,914.185563,4347.064248
7,La,0.0,749.8064690000001,0.0
8,Gu,1675.4829170000003,6480.735358,0.0
9,Ma,4986.813668,354.478474,3510.771271
10,Hu,3815.0027450000002,1638.92952,3868.311146
11,Ka,3840.9987,1805.261115,3646.123526
12,Er,958.021555,8386.48922,0.0
13,Pr,647.049655,3669.9363289999997,5280.737243
14,Di,507.85752,1083.431667,8272.998314
15,So,466.975699,1613.437981,8299.154275
16,Gi5,1318.190413,683.163178,6352.627196
17,Fi,1858.818986,0.0,6357.827194
18,Ge1,0.0,0.0,0.0
19,Kr-2,0.0,0.0,0.0
20,Mg,1420.600837,780.318559,5480.419655
21,Sb,583.727191,0.0,6935.579484999999
22,Hf,219.828151,0.0,6468.396837
23,Wb,0.0,0.0,7854.138624
24,Gs,0.0,0.0,7790.11519
